accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,tn,fp,fn,tp,model,split,fold,feature_set,train_rows,valid_rows,train_min_date,train_max_date,valid_min_date,valid_max_date
0.7045454545454546,0.27941176470588236,0.8636363636363636,0.4222222222222222,0.8378099173553719,0.43805407998294454,1.020820719981288,0.23044779135082305,105,49,3,19,decision_tree,cv,2,chart_only,435,176,2017-01-01,2018-05-25,2018-06-01,2019-01-25
0.7964071856287425,0.3157894736842105,0.6,0.41379310344827586,0.7260204081632653,0.25439813521618554,1.3600403068419409,0.18497392070668253,121,26,8,12,decision_tree,cv,3,chart_only,611,167,2017-01-01,2019-01-25,2019-01-28,2019-12-13
0.8363636363636363,0.34285714285714286,0.75,0.47058823529411764,0.7787332214765101,0.3445595891177788,1.0099582914948986,0.1384531772277206,126,23,4,12,decision_tree,cv,4,chart_only,778,165,2017-01-01,2019-12-13,2019-12-23,2020-09-12
0.8251748251748252,0.41935483870967744,0.65,0.5098039215686274,0.8142276422764227,0.38161703480783504,0.6688961010625115,0.14489242619067838,105,18,7,13,decision_tree,cv,5,chart_only,943,143,2017-01-01,2020-09-12,2020-09-15,2021-05-20
0.8478260869565217,0.5769230769230769,0.46875,0.5172413793103449,0.7462993421052632,0.4840251740274333,0.4238515452430688,0.12376205926329309,141,11,17,15,random_forest,cv,1,chart_only,251,184,2017-01-01,2017-10-06,2017-10-12,2018-05-25
0.8352272727272727,0.40540540540540543,0.6818181818181818,0.5084745762711864,0.8881345926800472,0.5489314959991101,0.3672150636961282,0.11384865365575246,132,22,7,15,random_forest,cv,2,chart_only,435,176,2017-01-01,2018-05-25,2018-06-01,2019-01-25
0.8263473053892215,0.36363636363636365,0.6,0.4528301886792453,0.7996598639455781,0.35654979294071315,0.379059741334702,0.11586302989518779,126,21,8,12,random_forest,cv,3,chart_only,611,167,2017-01-01,2019-01-25,2019-01-28,2019-12-13
0.9151515151515152,0.5625,0.5625,0.5625,0.9031040268456376,0.5048520737899842,0.2597239526824572,0.07427895855252688,142,7,7,9,random_forest,cv,4,chart_only,778,165,2017-01-01,2019-12-13,2019-12-23,2020-09-12
0.8811188811188811,0.5882352941176471,0.5,0.5405405405405406,0.7914634146341463,0.4616751072420328,0.3429096070743888,0.10347308528673914,116,7,10,10,random_forest,cv,5,chart_only,943,143,2017-01-01,2020-09-12,2020-09-15,2021-05-20
0.8315217391304348,0.5294117647058824,0.28125,0.3673469387755102,0.776110197368421,0.4595611227003308,0.6317157563850085,0.1456264727969559,144,8,23,9,gradient_boosting,cv,1,chart_only,251,184,2017-01-01,2017-10-06,2017-10-12,2018-05-25
0.8352272727272727,0.26666666666666666,0.18181818181818182,0.21621621621621623,0.8332349468713104,0.33510954655566266,0.34563771610380684,0.10846287070856993,143,11,18,4,gradient_boosting,cv,2,chart_only,435,176,2017-01-01,2018-05-25,2018-06-01,2019-01-25
0.8682634730538922,0.4166666666666667,0.25,0.3125,0.782312925170068,0.39178775805391347,0.35426888519813227,0.10515394665000906,140,7,15,5,gradient_boosting,cv,3,chart_only,611,167,2017-01-01,2019-01-25,2019-01-28,2019-12-13
0.9090909090909091,0.5555555555555556,0.3125,0.4,0.9091862416107382,0.5320514520662765,0.21708289493259905,0.06509185471999895,145,4,11,5,gradient_boosting,cv,4,chart_only,778,165,2017-01-01,2019-12-13,2019-12-23,2020-09-12
0.8531468531468531,0.45454545454545453,0.25,0.3225806451612903,0.7813008130081301,0.4378003625822039,0.3759995295646939,0.10590952066554056,117,6,15,5,gradient_boosting,cv,5,chart_only,943,143,2017-01-01,2020-09-12,2020-09-15,2021-05-20
