feature,importance
num__total_streams_7d,0.24906299471146084
num__last_rank_obs,0.22452333837224103
num__last_streams_obs,0.19544691744085735
num__mean_streams_7d,0.1294058003292182
num__median_rank_7d,0.11847947741027474
num__first_month,0.06445194085063159
num__first_quarter,0.01862953088531607
