accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,tn,fp,fn,tp,model,split,fold,feature_set,train_rows,valid_rows,train_min_date,train_max_date,valid_min_date,valid_max_date
0.7049180327868853,0.0,0.0,0.0,0.5,0.29508196721311475,10.63583214760834,0.29508196721311475,172,0,72,0,dummy_most_frequent,cv,1,chart_only,323,244,2017-01-01,2017-10-05,2017-10-06,2018-05-24
0.704119850187266,0.0,0.0,0.0,0.5,0.2958801498127341,10.664601564570244,0.2958801498127341,188,0,79,0,dummy_most_frequent,cv,2,chart_only,567,267,2017-01-01,2018-05-24,2018-05-25,2019-02-02
0.6518218623481782,0.0,0.0,0.0,0.5,0.3481781376518219,12.549612111190587,0.3481781376518219,161,0,86,0,dummy_most_frequent,cv,3,chart_only,834,247,2017-01-01,2019-02-02,2019-02-04,2019-12-01
0.75,0.0,0.0,0.0,0.5,0.25,9.010913347279288,0.25,189,0,63,0,dummy_most_frequent,cv,4,chart_only,1081,252,2017-01-01,2019-12-01,2019-12-06,2020-09-08
0.7102803738317757,0.0,0.0,0.0,0.5,0.2897196261682243,10.442553785632073,0.2897196261682243,152,0,62,0,dummy_most_frequent,cv,5,chart_only,1333,214,2017-01-01,2020-09-08,2020-09-11,2021-05-14
0.8278688524590164,0.6923076923076923,0.75,0.72,0.8637758397932818,0.8101386389852002,0.5515889329885644,0.1389492493157698,148,24,18,54,logistic_regression,cv,1,chart_only,323,244,2017-01-01,2017-10-05,2017-10-06,2018-05-24
0.8426966292134831,0.6796116504854369,0.8860759493670886,0.7692307692307693,0.9100457850794506,0.8708853187907989,0.41197381391221205,0.1222497523785211,155,33,9,70,logistic_regression,cv,2,chart_only,567,267,2017-01-01,2018-05-24,2018-05-25,2019-02-02
0.8299595141700404,0.6833333333333333,0.9534883720930233,0.7961165048543689,0.9437382637584862,0.8997036587676197,0.41194098444239213,0.12151779352517604,123,38,4,82,logistic_regression,cv,3,chart_only,834,247,2017-01-01,2019-02-02,2019-02-04,2019-12-01
0.8968253968253969,0.7228915662650602,0.9523809523809523,0.821917808219178,0.9716973209036701,0.9161903514935814,0.27455844759747433,0.07726322800182228,166,23,3,60,logistic_regression,cv,4,chart_only,1081,252,2017-01-01,2019-12-01,2019-12-06,2020-09-08
0.8084112149532711,0.6265060240963856,0.8387096774193549,0.7172413793103448,0.9121392190152802,0.828224485128939,0.45969529713523843,0.1251614530910492,121,31,10,52,logistic_regression,cv,5,chart_only,1333,214,2017-01-01,2020-09-08,2020-09-11,2021-05-14
0.8401639344262295,0.8,0.6111111111111112,0.6929133858267716,0.8623223514211886,0.7772317240577216,1.0593534466974508,0.12632058287795994,161,11,28,44,knn,cv,1,chart_only,323,244,2017-01-01,2017-10-05,2017-10-06,2018-05-24
0.8726591760299626,0.8260869565217391,0.7215189873417721,0.7702702702702703,0.937382170751414,0.8823208139429841,0.2684380064740917,0.08422804827299209,176,12,22,57,knn,cv,2,chart_only,567,267,2017-01-01,2018-05-24,2018-05-25,2019-02-02
