feature,importance
num__last_rank_obs,0.6681905889091839
num__streams_growth_pct_7d,0.12340515002500367
num__total_streams_7d,0.10777037814734931
num__mean_streams_7d,0.02929360934771905
num__std_streams_7d,0.027318833348255005
num__median_rank_7d,0.023890345094930307
num__log_first_streams,0.020131095127558736
