experiment,accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,tn,fp,fn,tp,model,split,feature_set,feature_selection,cv_folds,model_selection_strategy,k_best,rfe_fraction,require_audio_features,description
model_A_chart_only_matched,0.9265536723163842,0.65,0.6842105263157895,0.6666666666666666,0.9017321785476348,0.6710675769683278,0.2801237148411066,0.0782624275580085,151,7,6,13,random_forest,test,chart_only,hybrid,5,time_series_cv_5_folds,50,0.5,True,"A: only chart and artist-history features, trained on the same audio-matched subset as B."
model_B_chart_plus_audio_matched,0.9096045197740112,0.5882352941176471,0.5263157894736842,0.5555555555555556,0.9360426382411724,0.7045529532366537,0.3111089509099808,0.0842257062904136,151,7,9,10,random_forest,test,chart_plus_audio,hybrid,5,time_series_cv_5_folds,50,0.5,True,"B: chart + artist-history + audio/structure-inspired features, trained on audio-matched rows."
