model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,log_loss_mean,log_loss_std,brier_score_mean,brier_score_std
random_forest,0.8463963453451868,0.02745263267062545,0.4559761615715705,0.09535761563401136,0.5888636363636364,0.13973669158530488,0.49401860877270715,0.005875847235212598,0.823072787788856,0.034679740862426256,0.4721502584494197,0.07533620090661536,0.3914718862789025,0.03943725755790577,0.1199779937437763,0.01425152785269003
logistic_regression,0.7851849068661096,0.07471899494730927,0.363980877879183,0.08536122138797986,0.6936363636363636,0.1380801061068514,0.4641978382736401,0.06702191431810184,0.8281513538400033,0.08186823537552355,0.4981804028227261,0.09538316043055937,0.5464152010630349,0.188048174625415,0.15511597454597664,0.042564537463143065
decision_tree,0.77106273163615,0.08013150888805617,0.33357182422245296,0.06299299346425606,0.6738636363636363,0.05493469075123554,0.442727195700083,0.056820380270998457,0.7805237500390744,0.05322804593159666,0.33542054777260655,0.05849448691683075,1.1035046784710751,0.7814375971536593,0.16756084652859896,0.0339702522319186
gradient_boosting,0.8727282224847963,0.029431670172947698,0.5497101449275362,0.1224268875089503,0.3380681818181818,0.08883827526968634,0.40636963036963036,0.07760273506029174,0.8281078626744783,0.04420223686292716,0.4815081164213222,0.0656040284190243,0.36701994979068037,0.15776639547991864,0.09816505227762878,0.02659506499626952
knn,0.8724862846517365,0.032691301921495976,0.5111111111111111,0.3544252868385907,0.08875,0.07935285124051938,0.14830201890535652,0.128231112658559,0.7587926135754017,0.04324209635331224,0.3588983600695481,0.06478329257295708,0.9113715629882785,0.5171883223409394,0.10133899574251046,0.022466929864708524
dummy_most_frequent,0.8688993281299972,0.02846211982830316,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1311006718700028,0.028462119828303174,4.725347175962762,1.0258787818108783,0.1311006718700028,0.028462119828303174
