accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,tn,fp,fn,tp,model,split,fold,feature_set,train_rows,valid_rows,train_min_date,train_max_date,valid_min_date,valid_max_date
0.8260869565217391,0.0,0.0,0.0,0.5,0.17391304347826086,6.268461458976896,0.17391304347826086,152,0,32,0,dummy_most_frequent,cv,1,chart_plus_audio,251,184,2017-01-01,2017-10-06,2017-10-12,2018-05-25
0.875,0.0,0.0,0.0,0.5,0.125,4.505456673639644,0.125,154,0,22,0,dummy_most_frequent,cv,2,chart_plus_audio,435,176,2017-01-01,2018-05-25,2018-06-01,2019-01-25
0.8802395209580839,0.0,0.0,0.0,0.5,0.11976047904191617,4.316605196301455,0.11976047904191617,147,0,20,0,dummy_most_frequent,cv,3,chart_plus_audio,611,167,2017-01-01,2019-01-25,2019-01-28,2019-12-13
0.9030303030303031,0.0,0.0,0.0,0.5,0.09696969696969697,3.4951421468234813,0.09696969696969697,149,0,16,0,dummy_most_frequent,cv,4,chart_plus_audio,778,165,2017-01-01,2019-12-13,2019-12-23,2020-09-12
0.8601398601398601,0.0,0.0,0.0,0.5,0.13986013986013987,5.041070404072329,0.13986013986013987,123,0,20,0,dummy_most_frequent,cv,5,chart_plus_audio,943,143,2017-01-01,2020-09-12,2020-09-15,2021-05-20
0.7880434782608695,0.41025641025641024,0.5,0.4507042253521127,0.6955180921052632,0.38004146528953764,0.8238241008893274,0.16414111820376723,129,23,16,16,logistic_regression,cv,1,chart_plus_audio,251,184,2017-01-01,2017-10-06,2017-10-12,2018-05-25
0.7102272727272727,0.27692307692307694,0.8181818181818182,0.41379310344827586,0.8302833530106257,0.41851368772060304,0.5575657201339163,0.19055461839800963,107,47,4,18,logistic_regression,cv,2,chart_plus_audio,435,176,2017-01-01,2018-05-25,2018-06-01,2019-01-25
0.718562874251497,0.2711864406779661,0.8,0.4050632911392405,0.8778911564625851,0.546957447886459,0.5866688473948813,0.19278609477326428,104,43,4,16,logistic_regression,cv,3,chart_plus_audio,611,167,2017-01-01,2019-01-25,2019-01-28,2019-12-13
0.8909090909090909,0.46153846153846156,0.75,0.5714285714285714,0.9102348993288591,0.6087795514588309,0.3160956190358445,0.09041026707588998,135,14,4,12,logistic_regression,cv,4,chart_plus_audio,778,165,2017-01-01,2019-12-13,2019-12-23,2020-09-12
0.8181818181818182,0.4,0.6,0.48,0.826829268292683,0.5366098617581997,0.4479217178612049,0.13768777427895215,105,18,8,12,logistic_regression,cv,5,chart_plus_audio,943,143,2017-01-01,2020-09-12,2020-09-15,2021-05-20
0.8315217391304348,0.5555555555555556,0.15625,0.24390243902439024,0.728310032894737,0.37243647699781235,1.477840136894497,0.13157004830917876,148,4,27,5,knn,cv,1,chart_plus_audio,251,184,2017-01-01,2017-10-06,2017-10-12,2018-05-25
0.8693181818181818,0.0,0.0,0.0,0.757378984651712,0.3148014505838268,1.0543660807521518,0.09760101010101009,153,1,22,0,knn,cv,2,chart_plus_audio,435,176,2017-01-01,2018-05-25,2018-06-01,2019-01-25
0.8802395209580839,0.5,0.05,0.09090909090909091,0.7426870748299319,0.32191270555069046,0.5221232556625941,0.09692614770459082,146,1,19,1,knn,cv,3,chart_plus_audio,611,167,2017-01-01,2019-01-25,2019-01-28,2019-12-13
0.9212121212121213,1.0,0.1875,0.3157894736842105,0.8334731543624161,0.4668683502338221,0.23851766087320075,0.06995286195286195,149,0,13,3,knn,cv,4,chart_plus_audio,778,165,2017-01-01,2019-12-13,2019-12-23,2020-09-12
0.8601398601398601,0.5,0.05,0.09090909090909091,0.7321138211382114,0.31847281698158886,1.2640106807589493,0.11064491064491065,122,1,19,1,knn,cv,5,chart_plus_audio,943,143,2017-01-01,2020-09-12,2020-09-15,2021-05-20
