accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,tn,fp,fn,tp,model,split,fold,feature_set,train_rows,valid_rows,train_min_date,train_max_date,valid_min_date,valid_max_date
0.7265917602996255,0.5294117647058824,0.6835443037974683,0.5966850828729282,0.8689402100727174,0.7714842755833005,0.5839696977843566,0.1626130792089536,140,48,25,54,decision_tree,cv,2,chart_plus_audio,567,267,2017-01-01,2018-05-24,2018-05-25,2019-02-02
0.8663967611336032,0.8117647058823529,0.8023255813953488,0.8070175438596491,0.9377076411960132,0.9081706553468819,0.637900433195226,0.12115159350509275,145,16,17,69,decision_tree,cv,3,chart_plus_audio,834,247,2017-01-01,2019-02-02,2019-02-04,2019-12-01
0.8849206349206349,0.7023809523809523,0.9365079365079365,0.8027210884353742,0.9549004787100026,0.8529386696538344,1.0463124497039649,0.08946631001444527,164,25,4,59,decision_tree,cv,4,chart_plus_audio,1081,252,2017-01-01,2019-12-01,2019-12-06,2020-09-08
0.8598130841121495,0.7580645161290323,0.7580645161290323,0.7580645161290323,0.873991935483871,0.7862359937516525,1.4342101598576225,0.11794310852906915,137,15,15,47,decision_tree,cv,5,chart_plus_audio,1333,214,2017-01-01,2020-09-08,2020-09-11,2021-05-14
0.8565573770491803,0.7681159420289855,0.7361111111111112,0.75177304964539,0.8753229974160207,0.8340733231482951,0.4004838256152103,0.11535609738619514,156,16,19,53,random_forest,cv,1,chart_plus_audio,323,244,2017-01-01,2017-10-05,2017-10-06,2018-05-24
0.8651685393258427,0.7415730337078652,0.8354430379746836,0.7857142857142857,0.9268112038782657,0.8763154132933952,0.3311621378739202,0.10244757300949406,165,23,13,66,random_forest,cv,2,chart_plus_audio,567,267,2017-01-01,2018-05-24,2018-05-25,2019-02-02
0.8744939271255061,0.7777777777777778,0.8953488372093024,0.8324324324324325,0.9483605373393038,0.9284362382840341,0.3008593791237663,0.08878868115974764,139,22,9,77,random_forest,cv,3,chart_plus_audio,834,247,2017-01-01,2019-02-02,2019-02-04,2019-12-01
0.9285714285714286,0.8169014084507042,0.9206349206349206,0.8656716417910447,0.9715293524817333,0.8917311304176521,0.24599708079436078,0.06708336671637376,176,13,5,58,random_forest,cv,4,chart_plus_audio,1081,252,2017-01-01,2019-12-01,2019-12-06,2020-09-08
0.8691588785046729,0.75,0.8225806451612904,0.7846153846153846,0.911820882852292,0.8498287829680994,0.3372972737734762,0.09645256297584326,135,17,11,51,random_forest,cv,5,chart_plus_audio,1333,214,2017-01-01,2020-09-08,2020-09-11,2021-05-14
0.8483606557377049,0.7611940298507462,0.7083333333333334,0.7338129496402878,0.8527939276485789,0.7442500316286209,0.6590015314550284,0.13876814260616777,156,16,21,51,gradient_boosting,cv,1,chart_plus_audio,323,244,2017-01-01,2017-10-05,2017-10-06,2018-05-24
0.8764044943820225,0.8026315789473685,0.7721518987341772,0.7870967741935484,0.9365405332615135,0.9005415737284476,0.27614218943712493,0.08485681812305197,173,15,18,61,gradient_boosting,cv,2,chart_plus_audio,567,267,2017-01-01,2018-05-24,2018-05-25,2019-02-02
0.8987854251012146,0.8426966292134831,0.872093023255814,0.8571428571428571,0.9503105590062111,0.9269847221852252,0.26409446569600764,0.07674979572227847,147,14,11,75,gradient_boosting,cv,3,chart_plus_audio,834,247,2017-01-01,2019-02-02,2019-02-04,2019-12-01
0.9126984126984127,0.8059701492537313,0.8571428571428571,0.8307692307692308,0.9693877551020409,0.9128218987481278,0.2211108592474228,0.06579870255399156,176,13,9,54,gradient_boosting,cv,4,chart_plus_audio,1081,252,2017-01-01,2019-12-01,2019-12-06,2020-09-08
0.883177570093458,0.8245614035087719,0.7580645161290323,0.7899159663865546,0.924501273344652,0.8546628868941221,0.3040482401906976,0.0871234690825136,142,10,15,47,gradient_boosting,cv,5,chart_plus_audio,1333,214,2017-01-01,2020-09-08,2020-09-11,2021-05-14
