stage,feature,selected,score,ranking
filter_variance_threshold,cat__audio_track_genre_piano,True,0.007696778676663904,
filter_variance_threshold,cat__audio_track_genre_pop,True,0.058204695034993266,
filter_variance_threshold,cat__audio_track_genre_progressive-house,True,0.008967875350627394,
filter_variance_threshold,cat__audio_track_genre_punk-rock,True,0.0006459945621130734,
filter_variance_threshold,cat__audio_track_genre_r-n-b,True,0.007059976792666242,
filter_variance_threshold,cat__audio_track_genre_reggae,True,0.0190163082288262,
filter_variance_threshold,cat__audio_track_genre_reggaeton,True,0.003863431902520858,
filter_variance_threshold,cat__audio_track_genre_rock,True,0.03548791601569208,
filter_variance_threshold,cat__audio_track_genre_rock-n-roll,True,0.001935476592307636,
filter_variance_threshold,cat__audio_track_genre_rockabilly,True,0.0019354765923075437,
filter_variance_threshold,cat__audio_track_genre_sad,True,0.0032216158304602485,
filter_variance_threshold,cat__audio_track_genre_salsa,True,0.0006459945621130658,
filter_variance_threshold,cat__audio_track_genre_show-tunes,True,0.006422339210657981,
filter_variance_threshold,cat__audio_track_genre_singer-songwriter,True,0.008967875350627366,
filter_variance_threshold,cat__audio_track_genre_soul,True,0.014018834126062496,
filter_variance_threshold,cat__audio_track_genre_spanish,True,0.001291153426215598,
filter_variance_threshold,cat__audio_track_genre_swedish,True,0.007059976792666238,
filter_variance_threshold,cat__audio_track_genre_synth-pop,True,0.0012911534262155817,
filter_variance_threshold,cat__audio_track_genre_trance,True,0.0012911534262155743,
filter_variance_threshold,cat__audio_track_genre_turkish,True,0.0006459945621130461,
filter_select_kbest,num__first_rank,True,323.60274397105115,
filter_select_kbest,num__first_streams,True,346.4416080801026,
filter_select_kbest,num__last_rank_obs,True,1254.7027065075115,
filter_select_kbest,num__last_streams_obs,True,622.7503612704269,
filter_select_kbest,num__obs_days_count,True,390.3427778707172,
filter_select_kbest,num__best_rank_7d,True,685.9607646335357,
filter_select_kbest,num__worst_rank_7d,True,648.5051682215245,
filter_select_kbest,num__mean_rank_7d,True,823.1405536034526,
filter_select_kbest,num__median_rank_7d,True,818.2836014333403,
filter_select_kbest,num__std_rank_7d,True,49.57539653058954,
filter_select_kbest,num__total_streams_7d,True,849.7998671494058,
filter_select_kbest,num__mean_streams_7d,True,551.4531570708269,
filter_select_kbest,num__max_streams_7d,True,514.56556985434,
filter_select_kbest,num__std_streams_7d,True,152.84860362524967,
filter_select_kbest,num__rank_slope_7d,True,81.14023423115123,
filter_select_kbest,num__streams_slope_7d,True,39.80100944652206,
filter_select_kbest,num__rank_change_7d,True,197.39992083537302,
filter_select_kbest,num__streams_growth_abs_7d,True,20.326101760454883,
filter_select_kbest,num__streams_growth_pct_7d,True,162.8479113250976,
filter_select_kbest,num__log_first_streams,True,382.0693647432119,
filter_select_kbest,num__log_total_streams_7d,True,860.3421647613591,
filter_select_kbest,num__first_month,False,0.3192899423556084,
filter_select_kbest,num__first_dayofweek,True,7.603062676888976,
filter_select_kbest,num__first_quarter,False,0.6482974275344068,
filter_select_kbest,num__artist_previous_chart_entries,False,1.8815877926024756,
filter_select_kbest,num__artist_prev_best_rank,True,15.371987490297924,
