experiment,accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,tn,fp,fn,tp,model,split,feature_set,feature_selection,cv_folds,model_selection_strategy,k_best,rfe_fraction,require_audio_features,description
model_A_chart_only_matched,0.8996282527881041,0.8354430379746836,0.825,0.8301886792452831,0.928670634920635,0.9043762419417344,0.2779433987440549,0.0789668673620007,176,13,14,66,gradient_boosting,test,chart_only,hybrid,5,time_series_cv_5_folds,50,0.5,True,"A: only chart and artist-history features, trained on the same audio-matched subset as B."
model_B_chart_plus_audio_matched,0.9033457249070632,0.8292682926829268,0.85,0.8395061728395061,0.943915343915344,0.90688027591231,0.2699955288574259,0.0774495230890664,175,14,12,68,random_forest,test,chart_plus_audio,hybrid,5,time_series_cv_5_folds,50,0.5,True,"B: chart + artist-history + audio/structure-inspired features, trained on audio-matched rows."
