feature,correlation_with_target
last_rank_obs,-0.6354913462939775
total_streams_7d,0.620790819017442
last_streams_obs,0.5842675814869268
mean_rank_7d,-0.5487110691717397
mean_streams_7d,0.5475090200151792
median_rank_7d,-0.5442602125400632
worst_rank_7d,-0.5346767994970913
log_total_streams_7d,0.5319576325097032
max_streams_7d,0.4961107977539722
best_rank_7d,-0.4735960522458803
first_streams,0.4303620168881689
log_first_streams,0.40192894747247276
obs_days_count,0.4006866693840148
first_rank,-0.35744789140195277
std_rank_7d,-0.31324111012028577
rank_change_7d,0.303358149891432
artist_prev_mean_streams,0.25144992657023446
streams_growth_pct_7d,0.2502775844255776
std_streams_7d,0.20627737818312353
rank_slope_7d,-0.20550349761391773
audio_danceability,0.1451680809527833
artist_prev_best_rank,-0.12433617367660794
audio_energy,-0.08505931278256716
loudness_energy,0.07866656917496305
streams_slope_7d,0.0767728298347663
audio_mode,-0.05840922106768867
audio_speechiness,0.05245148802045859
audio_duration_ms,-0.04767873690360718
duration_min,-0.047678736903606994
audio_acousticness,0.043270793503740156
